"names";"family_name";"first_name";"date_born";"date_dead";"country_name";"gender"
"Aamodt_Thorleif";"Aamodt";" Thorleif";;;;
"Adolphson_Olle";"Adolphson";" Olle";;;;"M"
"Agnestig_Carl-Bertil";"Agnestig";" Carl-Bertil";;;;
"Ahlberg_David";"Ahlberg";" David";1869;1949;"Sverige";"M"
"Ahlenius_Johan";"Ahlenius";" Johan";;;;
"Ahlin_Johan";"Ahlin";" Johan";;;;
"Ahnfelt_Oscar";"Ahnfelt";" Oscar";;;;
"Aleotti_Raphaella";"Aleotti";" Raphaella";1570;1646;"Italien";"K"
"Alexandersson_Linda";"Alexandersson";" Linda";;;;
"Alfvén_Hugo";"Alfvén";" Hugo";1872;1960;"Sverige";"M"
"Alldahl_Per-Gunnar";"Alldahl";" Per-Gunnar";;;;
"Allegri_Gregorio";"Allegri";" Gregorio";1582;1652;"Italien";"M"
"Ambrosius";"Ambrosius";;;;"Italien";"M"
"Andersson_Benny";"Andersson";" Benny";1946;;"Sverige";"M"
"Andersson_Ditte";"Andersson";" Ditte";1954;;"Sverige";"K"
"Andersson_Georg";"Andersson";" Georg";;;;
"Andersson_Olof";"Andersson";" Olof";1956;;"Sverige";"M"
"Andersson_Reinhold";"Andersson";" Reinhold";;;"Sverige";"M"
"Andersson_Tina";"Andersson";" Tina";1966;;"Sverige";"K"
"Anerio_Felice";"Anerio";" Felice";1560;1614;"Italien";"M"
"Angelou_Maya";"Angelou";" Maya";1928;2014;"USA";"K"
"Ankarblom_Nils-Petter";"Ankarblom";" Nils-Petter";1981;;"Sverige";"M"
"Anonym";"Anonym";;;;;
"Anonymus";"Anonymous";" ";;;;
"Aquino_Thomas av";"Aquino";" Thomas av";1225;1274;"Italien";"M"
"Arcadelt_Jakob";"Arcadelt";" Jakob";1514;1557;;"M"
"Arnberg_Göran";"Arnberg";" Göran";;;;
"Arnesen_Kim André";"Arnesen";" Kim André";1980;;"Norge";"M"
"Arnesen_Kim-André";"Arnesen";" Kim-André";;;;
"Arpåker_Martin";"Arpåker";" Martin";1990;;"Sverige";"M"
"Asmussen_Svend";"Asmussen";" Svend";1916;2017;"Danmark";"M"
"Aspenström_Werner";"Aspenström";" Werner";1918;1997;"Sverige";"M"
"Atterberg_Kurt";"Atterberg";" Kurt";1887;1974;"Sverige";"M"
"Auden_W H";"Auden";" W H";1907;1973;"England";"M"
"Bach_Johann Sebastian";"Bach";" Johann Sebastian";1685;1750;"Tyskland";"M"
"Bainton_Edgar L";"Bainton";" Edgar L";1880;1956;"England";"M"
"Barber_Samuel";"Barber";" Samuel";1810;1981;"USA";"M"
"Bartók_Béla";"Bartók";" Béla";;;;
