names,family_name,first_name,date_born,date_dead,country_name,gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aamodt_ Thorleif,Aamodt, Thorleif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adolphson_ Olle,Adolphson, Olle,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnestig_ Carl-Bertil,Agnestig, Carl-Bertil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahlberg_ David,Ahlberg, David,1869,1949,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahlenius_ Johan,Ahlenius, Johan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahlin_ Johan,Ahlin, Johan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahnfelt_ Oscar,Ahnfelt, Oscar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleotti_ Raphaella,Aleotti, Raphaella,1570,1646,Italien,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandersson_ Linda,Alexandersson, Linda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfvén_ Hugo,Alfvén, Hugo,1872,1960,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alldahl_ Per-Gunnar,Alldahl, Per-Gunnar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allegri_ Gregorio,Allegri, Gregorio,1582,1652,Italien,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosius,Ambrosius,,,,Italien,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andersson_ Benny,Andersson, Benny,1946,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andersson_ Ditte,Andersson, Ditte,1954,,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andersson_ Georg,Andersson, Georg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andersson_ Olof,Andersson, Olof,1956,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andersson_ Reinhold,Andersson, Reinhold,,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andersson_ Tina,Andersson, Tina,1966,,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
